Date,Balanced Basket - Steady Gains,NIFTY Multi Cap
2023-11-07,100.00,100.00
2023-11-08,101.76,100.42
2023-11-09,101.79,100.18
2023-11-10,102.63,100.40
2023-11-13,104.52,100.76
2023-11-15,103.41,101.86
2023-11-16,105.36,102.36
2023-11-17,105.18,102.40
2023-11-20,105.61,102.24
2023-11-21,106.57,102.56
2023-11-22,105.97,102.56
2023-11-23,106.87,102.63
2023-11-24,106.51,102.65
2023-11-28,107.40,103.22
2023-11-29,110.16,103.22
2023-11-30,112.37,104.66
2023-12-01,112.37,105.40
2023-12-04,113.43,107.33
2023-12-05,111.73,108.15
2023-12-06,112.03,108.68
2023-12-07,111.85,108.82
2023-12-08,112.46,108.82
2023-12-11,113.70,109.21
2023-12-12,111.53,108.72
2023-12-13,112.56,109.10
2023-12-14,114.56,110.39
2023-12-15,115.96,111.39
2023-12-18,118.06,111.45
2023-12-19,119.00,111.53
2023-12-20,117.12,109.26
2023-12-21,121.68,110.20
2023-12-22,122.73,110.86
2023-12-26,124.10,111.41
2023-12-27,123.88,112.27
2023-12-28,125.81,112.87
2023-12-29,126.43,113.04
2024-01-01,128.69,113.28
2024-01-02,129.32,112.98
2024-01-03,130.43,112.68
2024-01-04,131.51,113.69
2024-01-05,132.71,113.98
2024-01-08,129.76,112.97
2024-01-09,131.34,113.22
2024-01-10,131.33,113.56
2024-01-11,132.30,113.94
2024-01-12,135.46,114.88
2024-01-15,134.55,115.70
2024-01-16,133.33,115.36
2024-01-17,130.61,113.38
2024-01-18,129.86,112.96
2024-01-19,132.76,114.07
2024-01-20,135.40,114.05
2024-01-23,131.33,111.74
2024-01-24,135.09,113.17
2024-01-25,134.75,112.83
2024-01-29,137.85,114.68
2024-01-30,139.64,113.88
2024-01-31,141.47,115.21
2024-02-01,139.66,115.07
2024-02-02,141.72,115.84
2024-02-05,145.47,115.51
2024-02-06,148.49,116.56
2024-02-07,148.86,117.00
2024-02-08,153.05,116.29
2024-02-09,149.18,116.14
2024-02-12,141.83,114.47
2024-02-13,140.69,115.10
2024-02-14,144.01,115.91
2024-02-15,146.83,116.58
2024-02-16,147.12,117.32
2024-02-19,147.46,117.76
2024-02-20,145.83,117.94
2024-02-21,145.64,117.11
2024-02-22,145.48,118.01
2024-02-23,145.17,118.19
2024-02-26,142.98,117.85
2024-02-27,144.03,118.07
2024-02-28,141.86,116.48
2024-02-29,143.50,116.89
2024-03-01,144.53,118.40
2024-03-04,145.11,118.88
2024-03-05,143.68,118.58
2024-03-06,140.10,118.57
2024-03-07,140.45,118.89
2024-03-11,137.09,118.04
2024-03-12,134.43,117.36
2024-03-13,128.04,114.30
2024-03-14,132.83,115.87
2024-03-15,131.47,115.34
2024-03-18,131.29,115.45
2024-03-19,129.88,114.10
2024-03-20,129.98,114.22
2024-03-21,131.00,115.76
2024-03-22,131.59,116.33
2024-03-26,130.58,116.39
2024-03-27,130.33,116.87
2024-03-28,131.12,117.85
2024-04-01,135.38,119.23
2024-04-02,136.95,119.68
2024-04-03,137.51,119.89
2024-04-04,139.27,120.23
2024-04-05,139.28,120.52
2024-04-08,139.70,121.13
2024-04-09,140.87,120.96
2024-04-10,140.63,121.69
2024-04-12,140.09,120.70
2024-04-15,139.55,119.15
2024-04-16,140.73,118.82
2024-04-18,138.51,118.25
2024-04-19,138.26,118.60
2024-04-22,134.94,119.71
2024-04-23,132.49,120.16
2024-04-24,132.39,120.61
2024-04-25,131.79,121.41
2024-04-26,131.83,121.25
2024-04-29,132.82,122.13
2024-04-30,131.92,122.16
2024-05-02,131.39,122.67
2024-05-03,130.84,121.94
2024-05-06,129.06,121.39
2024-05-07,126.87,120.06
2024-05-08,128.12,120.46
2024-05-09,125.35,118.37
2024-05-10,126.41,119.09
2024-05-13,125.50,119.33
2024-05-14,126.99,120.34
2024-05-15,128.08,120.68
2024-05-16,127.95,121.77
2024-05-17,128.69,122.56