Date,Innovating Growth Leaders,NIFTY 100
2023-11-09,100.00,100.00
2023-11-10,100.29,100.16
2023-11-13,103.80,100.32
2023-11-15,105.93,101.47
2023-11-16,108.61,101.92
2023-11-17,109.59,101.85
2023-11-20,110.49,101.63
2023-11-21,108.68,102.02
2023-11-22,106.69,102.09
2023-11-23,108.08,102.09
2023-11-24,107.21,102.05
2023-11-28,107.66,102.70
2023-11-29,107.71,103.72
2023-11-30,110.56,104.05
2023-12-01,110.53,104.77
2023-12-04,110.89,106.92
2023-12-05,110.78,107.91
2023-12-06,111.28,108.55
2023-12-07,110.21,108.56
2023-12-08,109.12,108.72
2023-12-11,109.77,109.00
2023-12-12,109.30,108.47
2023-12-13,111.64,108.68
2023-12-14,111.80,110.05
2023-12-15,111.88,111.24
2023-12-18,112.77,111.19
2023-12-19,114.86,111.38
2023-12-20,112.62,109.55
2023-12-21,116.07,110.24
2023-12-22,115.41,110.79
2023-12-26,115.34,111.35
2023-12-27,113.76,112.37
2023-12-28,113.13,112.97
2023-12-29,113.48,112.90
2024-01-01,114.05,112.99
2024-01-02,112.77,112.63
2024-01-03,112.58,112.14
2024-01-04,113.53,112.98
2024-01-05,115.02,113.19
2024-01-08,113.87,112.14
2024-01-09,115.45,112.37
2024-01-10,115.55,112.73
2024-01-11,117.71,113.02
2024-01-12,117.74,114.14
2024-01-15,118.13,115.07
2024-01-16,119.93,114.74
2024-01-17,120.18,112.50
2024-01-18,120.61,111.93
2024-01-19,124.08,112.89
2024-01-20,127.77,112.71
2024-01-23,119.83,110.78
2024-01-24,124.17,112.01
2024-01-25,124.26,111.60
2024-01-29,126.46,113.54
2024-01-30,128.68,112.53
2024-01-31,129.13,113.59
2024-02-01,127.73,113.53
2024-02-02,127.97,114.35
2024-02-05,130.36,113.91
2024-02-06,134.40,114.86
2024-02-07,136.03,115.19
2024-02-08,140.79,114.37
2024-02-09,136.17,114.60
2024-02-12,126.93,113.54
2024-02-13,126.41,114.26
2024-02-14,129.85,114.94
2024-02-15,132.76,115.41
2024-02-16,134.19,116.11
2024-02-19,133.94,116.51
2024-02-20,133.11,116.85
2024-02-21,131.32,116.14
2024-02-22,130.97,117.06
2024-02-23,133.01,117.10
2024-02-26,132.46,116.76
2024-02-27,135.12,117.04
2024-02-28,131.09,115.68
2024-02-29,133.17,116.03
2024-03-01,135.49,117.76
2024-03-04,136.27,118.19
2024-03-05,135.13,117.96
2024-03-06,131.05,118.41
2024-03-07,131.15,118.66
2024-03-11,128.26,117.93
2024-03-12,127.35,117.65
2024-03-13,121.99,115.38
2024-03-14,127.96,116.53
2024-03-15,126.46,115.87
2024-03-18,124.76,116.11
2024-03-19,122.78,114.74
2024-03-20,122.73,114.91
2024-03-21,125.46,116.10
2024-03-22,127.06,116.59
2024-03-26,126.92,116.42
2024-03-27,126.89,116.92
2024-03-28,127.62,118.06
2024-04-01,130.19,119.02
2024-04-02,132.83,119.19
2024-04-03,134.26,119.18
2024-04-04,134.70,119.53
2024-04-05,134.34,119.71
2024-04-08,133.94,120.43
2024-04-09,135.96,120.27
2024-04-10,135.03,120.92
2024-04-12,134.16,119.79
2024-04-15,132.66,118.30
2024-04-16,133.39,117.80
2024-04-18,133.17,117.13
2024-04-19,135.44,117.75
2024-04-22,137.25,118.88
2024-04-23,137.21,119.07
2024-04-24,138.33,119.34
2024-04-25,140.31,120.17
2024-04-26,141.27,119.67
2024-04-29,140.96,120.76
2024-04-30,140.43,120.72
2024-05-02,142.27,121.26
2024-05-03,141.52,120.44
2024-05-06,139.37,120.01
2024-05-07,137.22,119.01
2024-05-08,137.34,119.33
2024-05-09,133.50,117.39
2024-05-10,134.57,118.00
2024-05-13,135.66,118.25
2024-05-14,136.97,119.08
2024-05-15,138.92,119.16
2024-05-16,140.27,120.24
2024-05-17,142.47,120.76