Date,Momentum Trend Masters,NIFTY Multi Cap
2023-11-07,100.00,100.00
2023-11-08,100.84,100.42
2023-11-09,100.20,100.18
2023-11-10,101.98,100.40
2023-11-13,104.40,100.76
2023-11-15,104.22,101.86
2023-11-16,105.67,102.36
2023-11-17,108.11,102.40
2023-11-20,109.05,102.24
2023-11-21,107.98,102.56
2023-11-22,105.82,102.56
2023-11-23,106.51,102.63
2023-11-24,106.86,102.65
2023-11-28,110.23,103.22
2023-11-29,109.84,103.22
2023-11-30,110.46,104.66
2023-12-01,111.99,105.40
2023-12-04,113.93,107.33
2023-12-05,113.45,108.15
2023-12-06,113.67,108.68
2023-12-07,113.84,108.82
2023-12-08,113.52,108.82
2023-12-11,113.44,109.21
2023-12-12,112.47,108.72
2023-12-13,116.49,109.10
2023-12-14,116.34,110.39
2023-12-15,118.32,111.39
2023-12-18,119.27,111.45
2023-12-19,118.87,111.53
2023-12-20,112.24,109.26
2023-12-21,116.36,110.20
2023-12-22,119.86,110.86
2023-12-26,120.92,111.41
2023-12-27,123.88,112.27
2023-12-28,124.55,112.87
2023-12-29,125.08,113.04
2024-01-01,126.15,113.28
2024-01-02,124.10,112.98
2024-01-03,125.07,112.68
2024-01-04,125.30,113.69
2024-01-05,126.11,113.98
2024-01-08,124.22,112.97
2024-01-09,125.67,113.22
2024-01-10,125.40,113.56
2024-01-11,127.61,113.94
2024-01-12,129.09,114.88
2024-01-15,129.33,115.70
2024-01-16,128.79,115.36
2024-01-17,127.92,113.38
2024-01-18,130.52,112.96
2024-01-19,133.99,114.07
2024-01-20,134.75,114.05
2024-01-23,127.77,111.74
2024-01-24,130.44,113.17
2024-01-25,131.98,112.83
2024-01-29,135.04,114.68
2024-01-30,136.97,113.88
2024-01-31,138.60,115.21
2024-02-01,136.37,115.07
2024-02-02,136.59,115.84
2024-02-05,138.95,115.51
2024-02-06,141.46,116.56
2024-02-07,142.38,117.00
2024-02-08,145.62,116.29
2024-02-09,142.44,116.14
2024-02-12,132.61,114.47
2024-02-13,133.00,115.10
2024-02-14,138.42,115.91
2024-02-15,142.87,116.58
2024-02-16,145.36,117.32
2024-02-19,147.91,117.76
2024-02-20,147.40,117.94
2024-02-21,145.47,117.11
2024-02-22,148.88,118.01
2024-02-23,151.34,118.19
2024-02-26,149.59,117.85
2024-02-27,151.12,118.07
2024-02-28,145.87,116.48
2024-02-29,149.01,116.89
2024-03-01,151.75,118.40
2024-03-04,152.98,118.88
2024-03-05,153.45,118.58
2024-03-06,149.96,118.57
2024-03-07,149.82,118.89
2024-03-11,145.22,118.04
2024-03-12,142.53,117.36
2024-03-13,131.49,114.30
2024-03-14,138.21,115.87
2024-03-15,138.82,115.34
2024-03-18,136.29,115.45
2024-03-19,132.52,114.10
2024-03-20,132.39,114.22
2024-03-21,135.52,115.76
2024-03-22,135.99,116.33
2024-03-26,136.81,116.39
2024-03-27,137.15,116.87
2024-03-28,136.52,117.85
2024-04-01,141.01,119.23
2024-04-02,143.76,119.68
2024-04-03,143.92,119.89
2024-04-04,143.46,120.23
2024-04-05,144.71,120.52
2024-04-08,145.01,121.13
2024-04-09,145.86,120.96
2024-04-10,145.51,121.69
2024-04-12,144.38,120.70
2024-04-15,141.20,119.15
2024-04-16,141.31,118.82
2024-04-18,139.62,118.25
2024-04-19,139.72,118.60
2024-04-22,140.82,119.71
2024-04-23,141.88,120.16
2024-04-24,143.78,120.61
2024-04-25,143.96,121.41
2024-04-26,144.47,121.25
2024-04-29,145.04,122.13
2024-04-30,144.89,122.16
2024-05-02,143.22,122.67
2024-05-03,142.69,121.94
2024-05-06,141.86,121.39
2024-05-07,138.75,120.06
2024-05-08,138.77,120.46
2024-05-09,135.41,118.37
2024-05-10,135.82,119.09
2024-05-13,135.36,119.33
2024-05-14,137.81,120.34
2024-05-15,140.36,120.68
2024-05-16,140.94,121.77
2024-05-17,141.71,122.56