Date,Value Investing - GoalFi Smart Picks,NIFTY Smallcap 100
2023-11-09,100.00,100.00
2023-11-10,102.45,100.47
2023-11-13,106.21,102.31
2023-11-15,107.34,103.65
2023-11-16,110.07,104.25
2023-11-17,110.73,104.35
2023-11-20,111.73,104.28
2023-11-21,111.51,104.17
2023-11-22,108.91,102.91
2023-11-23,110.29,103.63
2023-11-24,109.98,103.94
2023-11-28,110.84,104.25
2023-11-29,114.28,104.25
2023-11-30,117.09,106.53
2023-12-01,116.65,107.04
2023-12-04,118.41,108.53
2023-12-05,117.84,108.65
2023-12-06,119.66,109.06
2023-12-07,118.94,109.46
2023-12-08,118.07,108.27
2023-12-11,118.73,109.19
2023-12-12,117.24,109.22
2023-12-13,118.30,110.17
2023-12-14,119.86,111.11
2023-12-15,119.64,111.90
2023-12-18,121.20,112.52
2023-12-19,122.04,112.39
2023-12-20,114.53,108.30
2023-12-21,117.25,110.41
2023-12-22,117.87,111.60
2023-12-26,118.45,111.75
2023-12-27,119.28,112.25
2023-12-28,119.52,113.14
2023-12-29,120.18,113.84
2024-01-01,123.28,114.45
2024-01-02,125.32,114.18
2024-01-03,124.94,114.17
2024-01-04,125.64,115.31
2024-01-05,125.85,116.05
2024-01-08,125.79,115.33
2024-01-09,128.37,115.83
2024-01-10,128.41,115.66
2024-01-11,131.80,116.34
2024-01-12,132.44,116.85
2024-01-15,131.25,117.34
2024-01-16,130.24,116.78
2024-01-17,128.59,115.37
2024-01-18,128.18,115.17
2024-01-19,132.84,116.42
2024-01-20,139.81,116.66
2024-01-23,133.48,113.30
2024-01-24,138.74,115.25
2024-01-25,140.73,115.83
2024-01-29,143.34,117.56
2024-01-30,142.42,117.82
2024-01-31,144.16,120.47
2024-02-01,144.65,121.23
2024-02-02,148.79,122.36
2024-02-05,153.10,122.68
2024-02-06,153.29,123.65
2024-02-07,151.06,124.53
2024-02-08,153.70,124.04
2024-02-09,146.73,122.30
2024-02-12,133.39,117.39
2024-02-13,135.01,117.59
2024-02-14,138.23,119.49
2024-02-15,141.80,121.06
2024-02-16,146.82,121.73
2024-02-19,147.63,122.21
2024-02-20,147.79,121.57
2024-02-21,144.44,120.31
2024-02-22,146.52,121.13
2024-02-23,147.31,121.59
2024-02-26,144.85,121.27
2024-02-27,144.49,121.61
2024-02-28,141.46,119.33
2024-02-29,143.91,120.09
2024-03-01,145.93,120.72
2024-03-04,146.27,120.93
2024-03-05,146.84,119.43
2024-03-06,141.71,117.09
2024-03-07,143.09,118.08
2024-03-11,139.12,115.74
2024-03-12,135.80,113.45
2024-03-13,127.02,107.46
2024-03-14,134.31,111.17
2024-03-15,137.92,111.60
2024-03-18,135.86,110.97
2024-03-19,133.17,109.65
2024-03-20,133.20,109.70
2024-03-21,134.91,112.46
2024-03-22,135.73,113.18
2024-03-26,135.25,113.64
2024-03-27,135.94,114.74
2024-03-28,137.59,114.79
2024-04-01,141.25,118.53
2024-04-02,143.82,119.98
2024-04-03,146.29,121.37
2024-04-04,144.74,121.92
2024-04-05,147.40,122.94
2024-04-08,146.60,123.33
2024-04-09,147.08,123.67
2024-04-10,148.00,124.57
2024-04-12,146.36,124.00
2024-04-15,144.46,121.86
2024-04-16,144.89,122.77
2024-04-18,143.96,122.42
2024-04-19,142.66,122.30
2024-04-22,140.51,123.91
2024-04-23,140.54,125.44
2024-04-24,141.39,125.89
2024-04-25,143.42,126.94
2024-04-26,143.27,127.65
2024-04-29,144.72,127.92
2024-04-30,144.74,127.88
2024-05-02,145.50,127.94
2024-05-03,145.36,127.31
2024-05-06,141.76,125.41
2024-05-07,138.79,123.03
2024-05-08,139.20,123.74
2024-05-09,135.40,120.24
2024-05-10,136.79,121.07
2024-05-13,136.09,120.56
2024-05-14,137.20,123.00
2024-05-15,138.45,123.71
2024-05-16,138.64,124.76
2024-05-17,138.57,126.82